alim_nom_eng,Culinary Fruit or Vegetable,Botanical fruit,Grows on tree,Grows underground,Water (g/100g),Protein (g/100g),Carbohydrate (g/100g),Fat (g/100g),Sugars (g/100g),fructose (g/100g),galactose (g/100g),glucose (g/100g),lactose (g/100g),maltose (g/100g),sucrose (g/100g),Starch (g/100g),Fibres (g/100g),Polyols (g/100g),Ash (g/100g),Alcohol (g/100g),Organic acids (g/100g),FA saturated (g/100g),FA mono (g/100g),FA poly (g/100g),FA 4:0 (g/100g),FA 6:0 (g/100g),FA 8:0 (g/100g),FA 10:0 (g/100g),FA 12:0 (g/100g),FA 14:0 (g/100g),FA 16:0 (g/100g),FA 18:0 (g/100g),FA 18:1 n-9 cis (g/100g),"FA 18:2 9c,12c (n-6) (g/100g)","FA 18:3 c9,c12,c15 (n-3) (g/100g)","FA 20:4 5c,8c,11c,14c (n-6) (g/100g)","FA 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","FA 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholesterol (mg/100g),Salt (g/100g),Calcium (mg/100g),Chloride (mg/100g),Copper (mg/100g),Iron (mg/100g),Iodine (µg/100g),Magnesium (mg/100g),Manganese (mg/100g),Phosphorus (mg/100g),Potassium (mg/100g),Selenium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Retinol (µg/100g),Beta-carotene (µg/100g),Vitamin D (µg/100g),Vitamin E (mg/100g),Vitamin K1 (µg/100g),Vitamin K2 (µg/100g),Vitamin C (mg/100g),Vitamin B1 or Thiamin (mg/100g),Vitamin B2 or Riboflavin (mg/100g),Vitamin B3 or Niacin (mg/100g),Vitamin B5 or Pantothenic acid (mg/100g),Vitamin B6 (mg/100g),Vitamin B9 or Folate (µg/100g),Vitamin B12 (µg/100g)
"Pineapple, pulp, raw",F,1,1,0,85.5,0.5,11.7,0.5,10.5,2.3,0,1.8,0.2,0.2,6.4,0.35,1.2,0.5,0.31,0,0.78,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,8,21.6,0.06,0.17,20,15,0.84,8.1,140,20,5,0.08,0,66.9,0,0.08,0.8,0,46.1,0.056,0.033,0.31,0.17,0.052,19.6,0
"Banana, pulp, raw",F,1,1,0,75.8,1.06,19.7,0.5,15.6,3.8,0,3.9,0.2,0.2,7.9,3.8,2.7,0.5,0.79,0,0.13,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,5.1,79.8,0.06,0.2,20,28,0.36,29,320,20,5,0.14,0,28.5,0,0.08,0.8,0,7.16,0.054,0.01,0.39,0.31,0.18,19,0
"Cherry, pitted, raw",F,1,1,0,85.7,0.81,13,0.3,10,4.6,0,5.4,0.2,0.2,0.2,0.35,1.6,2.8,0.37,0,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,9.9,20,0.08,0.17,20,8.8,0.06,19,190,20,5,0.06,0,242,0,0.08,0.8,0,4.09,0.015,0.012,0.1,0.14,0.04,6.75,0
"Lemon, pulp, raw",F,1,1,0,91.3,0.5,1.56,0.5,0.8,0.4,0,0.4,0.2,0.2,0.2,0,0.5,0.5,0.38,0,6.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,11,20,0.04,0.15,20,7.9,0.02,12,140,20,5,0.33,0,5,0,0.08,0.8,0,45,0.043,0.01,0.1,0.14,0.023,28.4,0
"Strawberry, raw",F,0,0,0,90.3,0.63,6.03,0.5,5.6,3.3,0,2.3,0.2,0.2,0.2,0.35,3.8,0.5,0.47,0,0.85,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,18,20,0.02,0.19,20,12,0.26,23,140,20,5,0.11,0,5,0,0.3,0.8,0,54,0.015,0.01,0.21,0.13,0.04,98.9,0
"Raspberry, raw",F,1,1,0,86.8,1.19,5.83,0.8,5.4,2.8,0,2.1,0.2,0.2,0.5,0.35,4.3,0.5,0.35,0,1.9,0.13,0.16,0.43,0.01,0.01,0.01,0.01,0.01,0.01,0.08,0.04,0.16,0.27,0.16,0.01,0.01,0.01,0,0.013,16,20,0.04,0.4,20,20,0.44,29,170,20,5,0.24,0,100,0,0.88,5.02,0,18.7,0.015,0.02,0.35,0.85,0.032,38.1,0
"Passion fruit, pulp and pips, raw",F,1,1,0,73.6,2.13,10.9,3,8.5,2.5,0.2,2.4,0.2,0.2,3.6,1.2,6.8,0.5,0.54,0,3,0.54,0.49,1.82,0.01,0.01,0.01,0.01,0.01,0.01,0.44,0.1,0.39,1.65,0.17,0.01,0.01,0.01,0,0.013,8.1,20,0.15,0.56,20,26,0.19,46,240,20,5,0.76,0,1010,0,0.5,0.8,0,25.6,0.015,0.053,1.37,0.56,0.17,101,0
"Kiwi fruit, pulp and seeds, raw",F,1,1,0,83.5,0.88,11,0.6,8.9,4.3,0,3.8,0.2,0.2,0.8,0.35,2.4,0.5,0.57,0,1.05,0.13,0.16,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.04,0.14,0.07,0.18,0.01,0.01,0.01,0,0.013,29,34.7,0.15,0.16,20,12,0.05,26,290,20,5,0.12,0,38,0,0.96,16.6,0,81.9,0.015,0.021,0.23,0.24,0.036,22.2,0
"Clementine or Mandarin orange, pulp, raw -> ARCHIVE",F,1,1,0,87,0.81,9.17,0.5,8.6,1.5,0,1.4,0.2,0.2,5.7,0.35,1.7,0.5,0.35,0,0.72,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,23,20,0.04,0.09,20,9.3,0.02,18,140,20,5,0.1,0,147,0,0.21,0.8,0,49.2,0.064,0.01,0.23,0.2,0.079,27.6,0
"Mango, pulp, raw",F,1,1,0,81.1,0.63,14.3,0.5,12.9,3.4,0,1,0.2,0.2,8.5,1.1,1.6,0.5,0.3,0,3.13,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.013,12,21.8,0.07,0.09,20,11,0.07,12,150,20,5,0.11,0,864,0,2.05,1.12,0,25,0.015,0.01,0.72,0.18,0.1,70.2,0
